3,0,0,0,0,6,31,36,32,0,35,33,25,26,0,30,29,0,24,20,21,19,23,0,0,9,10,8,12,11,15,0,16,13,17,0
33,31,34,0,0,36,0,30,26,28,0,27,19,0,21,24,23,22,18,0,15,13,17,0,0,3,0,0,0,0,9,0,10,7,11,0
0,13,0,17,14,0,7,0,8,10,0,0,1,2,3,0,5,4,0,32,0,0,0,34,19,0,22,20,0,0,0,30,28,25,29,26
27,0,28,0,26,0,19,24,0,0,23,0,13,14,0,18,0,0,12,8,9,0,11,10,31,33,34,0,0,35,3,0,4,1,5,2
21,19,0,0,20,24,0,0,14,16,17,15,7,8,9,12,11,0,0,2,0,1,5,4,25,27,28,0,30,29,33,36,0,0,35,0
9,7,0,11,8,12,1,0,2,4,5,3,31,32,0,36,35,34,0,0,27,0,29,28,0,0,16,0,18,17,0,24,22,0,0,20
4,2,5,6,3,7,32,0,0,0,0,34,26,27,0,31,30,29,25,21,22,0,24,23,8,0,11,0,0,0,16,19,17,14,0,15
16,14,17,18,15,19,8,13,9,11,12,0,0,3,4,0,6,0,0,33,34,32,36,35,0,0,23,21,0,0,28,0,0,0,30,27
0,32,35,0,33,0,26,31,0,0,30,0,0,21,22,25,0,0,19,15,0,14,18,0,2,4,0,3,7,6,10,0,11,8,0,0
28,26,0,30,27,31,20,0,21,23,24,22,14,0,16,0,0,17,13,0,10,8,12,0,0,0,35,33,1,36,4,7,0,2,0,3
0,8,0,0,9,13,0,0,3,0,6,0,32,33,0,0,0,0,31,27,28,26,0,29,0,0,17,0,19,18,22,25,0,0,0,0
22,20,0,0,0,0,14,0,0,0,18,16,8,9,10,0,0,0,7,3,0,2,6,5,26,28,29,0,31,30,0,1,35,32,36,0
14,12,0,16,13,0,0,0,7,9,0,0,36,1,2,5,4,3,0,31,0,30,0,33,0,20,0,19,23,0,26,29,27,24,28,0
2,36,3,4,0,5,30,35,0,33,34,32,0,0,26,29,0,27,0,0,20,0,0,21,0,8,0,7,11,0,14,17,0,12,16,13
8,6,9,10,7,0,36,5,1,3,0,2,30,31,0,0,34,0,29,25,0,0,28,27,12,14,0,13,0,16,0,0,21,18,0,19
0,30,33,34,31,35,24,0,0,27,0,0,0,19,20,0,0,21,17,13,0,12,0,15,36,0,3,1,0,4,0,0,9,6,10,7
20,18,21,22,19,0,0,0,13,15,0,14,6,7,0,11,10,9,5,1,2,36,4,3,0,26,0,25,29,28,0,0,0,30,34,0
26,24,27,28,25,29,18,0,19,21,22,20,0,0,0,0,0,15,11,7,8,6,10,0,0,0,33,0,35,34,2,5,3,0,4,0
23,21,0,25,22,0,15,0,16,18,0,0,9,10,0,0,13,0,8,0,5,0,7,6,27,0,0,28,32,0,35,2,0,0,0,34
35,33,36,0,34,2,27,32,28,0,31,29,0,0,0,26,25,24,20,0,17,15,19,18,3,5,6,4,0,7,0,14,0,0,13,0
5,0,0,0,4,8,33,0,34,36,0,35,27,28,29,0,0,0,0,0,0,21,25,24,9,11,12,0,14,0,17,20,18,0,19,16
17,0,18,0,0,0,0,14,0,12,13,11,3,0,5,8,0,6,2,0,35,33,1,36,21,23,0,22,26,25,29,32,30,0,0,28
11,9,12,13,0,0,0,0,4,6,7,5,0,34,35,2,0,0,32,28,0,27,31,0,0,17,18,16,0,19,23,0,24,0,25,22
29,27,30,31,0,32,0,0,0,24,0,0,0,16,17,0,0,0,14,10,0,9,13,12,0,0,0,34,2,1,5,8,6,3,7,4
0,5,8,9,6,10,35,4,0,0,3,0,29,0,31,34,0,0,28,0,25,0,0,26,11,0,0,0,16,0,0,22,0,0,0,18
31,0,0,0,0,0,23,0,0,26,27,25,17,18,19,22,21,20,0,12,13,11,0,14,35,1,2,36,0,0,0,0,0,5,9,6
0,0,2,3,36,4,29,34,30,0,33,0,0,0,0,28,0,0,22,0,0,17,21,0,5,7,0,6,10,0,13,16,0,11,15,0
13,0,14,15,0,0,0,10,0,8,9,0,0,0,1,4,0,2,34,30,31,0,33,32,17,19,20,0,22,21,25,28,26,0,27,0
0,17,20,0,18,22,11,0,12,14,15,0,0,0,7,10,9,0,4,36,0,35,3,2,23,0,26,24,28,0,0,34,0,29,33,0
25,23,0,27,24,28,0,22,0,20,21,0,11,0,13,0,15,0,10,6,0,0,9,8,29,31,32,0,0,33,0,4,2,0,0,0
18,16,0,20,17,21,10,0,0,0,14,12,0,5,6,0,8,7,3,35,0,0,2,0,22,24,25,23,27,0,0,0,31,28,0,29
0,0,25,0,23,0,16,0,17,0,0,0,10,0,0,15,0,13,0,5,6,4,8,7,28,30,31,29,33,32,36,0,1,34,0,35
0,0,0,32,29,33,22,27,0,0,26,24,16,0,18,0,20,19,0,11,12,0,0,0,34,36,1,35,3,0,0,9,7,4,0,5
6,0,7,8,5,9,34,0,35,0,2,36,28,29,30,33,0,0,0,23,24,22,0,0,0,12,0,11,15,0,18,21,19,16,0,17
0,34,0,0,0,3,0,33,29,0,32,0,22,23,24,0,0,25,21,17,0,0,0,19,4,6,0,5,9,0,0,15,13,10,14,0
12,10,0,14,11,15,0,9,0,7,8,0,0,0,36,0,0,0,33,0,30,28,32,31,16,18,0,0,21,0,24,27,25,22,0,0
