25,4,1,2,3,0,14,0,10,0,0,0,15,16,17,6,0,0,0,0,0,20,21,22,24
0,24,0,22,23,0,9,8,0,0,0,14,10,0,12,1,25,2,4,3,0,15,16,17,19
0,19,0,0,0,1,4,0,25,0,8,9,0,0,7,21,20,0,24,0,13,10,11,0,0
10,0,11,12,0,21,0,23,0,0,3,4,25,1,2,0,15,0,0,0,0,0,6,7,9
5,0,6,7,0,16,19,18,0,17,23,0,0,0,22,0,0,0,14,13,3,25,1,2,0
0,0,0,0,10,18,21,0,0,0,25,1,0,0,24,13,12,14,16,0,5,0,3,4,6
0,0,0,0,0,13,16,15,0,14,0,21,0,18,19,8,0,9,0,10,25,22,23,24,1
17,21,18,19,20,0,6,5,2,4,0,0,7,0,0,23,0,24,0,25,0,0,13,14,16
0,0,23,0,25,0,11,0,7,9,0,0,12,13,14,0,0,0,6,5,20,17,0,0,0
12,0,13,14,0,23,1,0,22,24,5,6,2,3,4,18,0,19,21,0,10,0,0,9,0
0,15,12,0,14,0,0,24,0,23,4,0,1,0,3,17,16,18,20,0,0,6,7,8,10
0,10,0,8,9,0,20,19,16,18,24,0,0,0,23,12,11,13,0,0,0,1,0,3,5
21,25,22,23,24,7,10,9,6,0,14,15,11,0,13,2,0,0,5,4,19,16,0,0,0
16,20,17,18,19,2,5,0,0,3,9,0,6,7,0,0,21,23,25,24,0,11,0,0,15
1,5,0,3,4,0,0,14,11,13,19,0,16,17,0,7,6,8,0,9,0,0,22,0,0
0,0,0,0,1,9,12,11,0,10,0,17,13,14,0,0,3,5,0,0,21,0,0,20,22
18,0,0,20,0,4,7,6,0,5,11,0,8,9,0,24,0,0,2,1,0,13,14,15,17
8,0,0,0,0,0,22,0,0,20,1,2,23,24,25,14,0,0,17,0,0,3,4,0,7
3,7,4,0,0,0,17,16,13,0,0,22,18,0,0,0,8,0,12,11,1,0,0,0,2
13,17,14,15,16,24,2,1,0,0,0,7,0,4,0,0,0,20,0,21,11,0,9,10,12
4,8,5,0,7,15,18,17,0,0,0,0,19,20,0,10,9,0,13,12,2,24,0,1,0
0,13,0,0,12,20,0,0,19,21,2,3,24,25,1,15,0,16,18,17,7,4,0,0,8
24,3,0,1,2,10,0,0,9,0,17,18,0,0,16,0,4,0,0,7,22,0,0,0,23
14,0,15,16,0,25,0,2,0,0,0,8,0,5,6,0,19,0,23,0,12,0,10,0,13
19,23,20,21,22,5,0,0,4,6,0,13,9,10,0,25,24,1,0,2,0,14,15,16,18
