5,0,0,4,1,2,16,0,11,9,8,10,13,0,0,12
1,3,2,0,13,14,0,0,0,0,4,6,9,10,0,8
9,0,0,8,5,0,0,7,15,0,12,14,1,0,0,0
13,0,14,12,9,10,8,11,0,1,16,0,0,0,7,4
3,5,0,2,0,16,14,1,9,7,6,0,0,0,0,10
0,13,12,10,0,0,0,9,0,0,0,0,3,4,5,2
7,0,0,0,3,0,2,0,0,11,0,0,15,16,1,0
15,0,16,0,11,0,0,0,5,0,2,4,0,0,9,6
0,12,11,0,0,7,0,8,16,14,0,15,0,3,0,0
14,16,0,0,10,0,9,0,0,2,1,3,0,7,8,0
0,8,0,0,2,3,0,0,12,10,0,0,14,15,16,13
2,4,3,1,14,0,13,0,0,0,5,0,10,0,12,9
4,6,5,3,16,1,0,0,10,0,0,0,12,0,14,0
0,14,13,11,8,9,0,0,0,16,0,1,4,0,6,3
0,10,9,7,4,5,0,6,0,12,11,0,0,1,0,0
16,0,1,0,0,13,0,14,6,0,0,5,0,9,10,7
