21,20,26,0,23,22,0,1,0,2,0,49,0,0,44,42,0,41,0,46,0,37,36,39,38,0,35,0,30,29,0,28,0,31,33,10,6,9,7,8,11,12,0,18,17,15,14,16,13
42,41,47,45,0,43,46,22,20,0,26,21,25,24,0,0,19,0,15,18,17,9,0,11,0,12,0,0,2,1,4,49,48,3,0,31,27,30,0,29,32,33,40,0,0,36,0,37,34
49,0,5,3,2,0,0,29,0,30,33,0,32,31,0,0,26,20,22,25,0,0,15,0,17,19,14,13,9,8,11,0,0,0,0,38,34,37,35,0,39,40,47,0,45,43,0,0,41
0,0,0,0,16,15,18,43,41,44,0,42,0,45,37,35,0,0,36,39,38,30,29,32,31,33,28,27,23,22,25,0,20,24,26,0,48,2,49,1,4,5,12,0,10,0,0,0,0
0,27,33,31,30,0,32,8,0,9,12,7,11,10,0,0,0,48,1,4,3,0,43,46,0,47,42,0,37,36,39,0,34,0,40,17,0,16,14,15,18,0,26,0,24,22,21,23,0
35,34,0,0,37,36,0,15,13,16,19,0,18,17,0,7,0,6,8,0,10,2,1,4,3,5,49,48,44,43,46,0,0,45,0,24,20,0,21,22,25,26,33,0,31,0,28,0,0
7,6,0,10,0,0,11,36,34,37,40,0,39,38,30,0,0,0,29,32,31,23,22,25,0,26,21,20,16,15,18,14,0,17,19,0,41,44,0,43,46,47,5,4,0,1,49,2,0
25,24,0,28,27,0,29,5,3,6,9,4,0,0,0,0,2,45,0,1,49,0,40,43,42,0,39,0,0,33,36,32,31,35,37,0,0,13,0,12,0,16,23,0,21,19,18,20,0
0,17,23,21,20,19,22,47,45,0,2,46,1,49,41,0,0,0,40,0,0,34,0,36,35,37,32,31,0,26,29,25,0,28,30,7,0,0,4,5,0,9,0,0,14,12,11,13,10
0,0,0,49,0,47,1,26,24,27,30,0,0,0,20,18,23,0,19,0,21,13,0,15,0,0,11,0,6,5,0,4,3,0,9,35,0,34,32,33,0,37,44,43,42,40,39,41,38
0,31,37,35,34,33,0,12,10,13,16,0,15,14,6,0,9,3,0,8,0,0,47,1,0,0,46,0,0,40,43,39,38,42,0,21,0,0,0,0,22,0,30,29,28,26,25,0,24
0,3,9,0,6,5,0,33,31,34,0,0,36,35,27,25,30,24,26,29,0,20,19,22,21,23,18,17,13,12,15,11,10,14,16,42,0,0,0,0,43,44,0,1,49,47,46,0,45
0,10,16,14,0,12,15,0,0,41,0,39,43,42,34,0,37,31,33,0,0,27,26,29,0,30,25,0,20,19,0,18,17,21,23,49,0,48,46,47,1,2,0,0,0,5,4,6,3
39,0,0,42,41,0,43,19,0,20,23,18,22,0,13,11,16,10,12,15,14,0,5,8,7,0,4,3,0,47,1,46,0,49,2,28,24,27,0,26,29,30,37,0,35,0,0,34,0
0,25,31,29,0,0,30,0,4,0,0,5,9,8,0,47,3,46,48,2,1,0,41,44,0,0,0,0,35,34,0,33,32,36,38,15,11,14,12,0,0,17,24,23,22,20,19,21,0
5,4,10,0,0,0,9,34,0,35,38,0,37,0,0,0,31,25,0,30,29,21,20,23,0,24,0,0,14,13,16,0,11,15,17,0,39,0,0,0,44,45,3,0,1,0,47,49,46
0,32,0,36,35,34,37,0,11,0,0,12,0,15,7,0,10,0,0,9,0,49,48,2,1,0,0,46,42,41,44,40,39,0,0,22,0,21,0,20,0,24,31,0,0,27,0,28,0
19,18,24,22,21,20,23,0,46,49,0,47,2,1,0,40,45,39,0,44,0,35,34,37,0,0,33,0,0,27,30,0,25,29,31,8,0,7,5,6,9,0,17,0,15,13,12,14,11
47,46,0,1,49,48,2,27,25,28,31,0,0,0,21,19,0,18,20,0,22,0,13,16,0,17,0,11,7,6,0,5,4,0,10,36,32,0,33,34,37,38,45,0,0,0,40,42,39
40,39,45,43,42,0,0,0,18,0,0,0,23,22,14,12,17,0,13,0,15,7,0,9,8,10,5,4,49,0,2,47,0,1,3,29,25,28,26,27,30,0,38,37,36,34,33,35,32
12,11,17,15,14,13,16,41,39,42,45,0,0,43,35,33,38,32,34,0,36,28,27,30,29,31,26,25,21,20,0,0,18,22,0,1,0,49,47,0,2,3,0,0,8,6,0,7,0
44,0,0,47,0,45,48,24,0,25,0,0,27,0,0,16,21,0,0,20,19,11,10,13,12,14,9,8,4,3,0,2,1,5,7,0,29,32,0,31,34,35,42,0,40,0,0,39,36
37,36,0,40,0,38,41,17,15,18,21,16,0,0,0,9,0,0,10,13,12,4,3,6,0,7,0,0,46,45,48,44,43,0,49,0,0,0,23,24,0,0,35,0,33,0,0,32,29
30,0,35,0,32,31,34,10,8,0,14,0,13,12,4,2,7,1,3,0,5,46,45,0,0,0,0,0,39,38,0,37,36,40,42,19,15,18,16,0,20,21,0,0,26,0,23,25,22
0,8,14,12,11,10,13,38,36,0,0,37,41,40,32,30,35,29,31,0,0,25,24,27,0,28,23,22,18,0,0,16,15,19,0,47,0,46,0,45,0,0,7,6,5,3,2,0,1
2,1,7,0,0,3,6,0,29,32,0,30,34,0,0,23,28,22,24,0,26,18,17,20,19,0,16,15,11,0,13,9,0,12,0,0,0,39,0,0,41,42,49,48,0,45,44,46,43
16,0,0,19,18,0,0,45,43,46,49,44,0,0,39,0,42,36,38,41,40,32,31,34,0,0,0,29,25,0,27,23,22,26,0,0,1,4,2,3,0,7,0,0,0,0,0,0,8
23,22,28,0,25,0,27,3,1,4,7,2,0,5,46,44,49,43,45,48,47,39,38,41,0,0,0,36,0,0,34,30,0,0,35,0,8,11,0,10,0,0,21,20,0,0,16,18,0
38,37,43,41,40,39,0,18,16,0,22,17,21,20,0,10,15,0,11,0,0,5,0,7,0,0,0,2,0,46,49,45,44,0,1,27,0,0,0,25,28,29,36,35,34,0,0,33,0
0,16,22,20,0,18,0,0,44,47,1,45,0,48,0,38,43,37,39,42,41,33,32,35,34,36,31,0,0,25,28,24,0,27,0,0,2,0,0,4,0,8,0,14,0,0,0,0,9
31,30,36,34,33,32,35,11,9,0,15,0,14,0,5,0,0,0,4,7,0,47,0,0,48,1,0,44,40,0,0,38,37,0,0,0,0,19,17,18,0,22,29,28,0,25,24,0,23
24,0,0,27,26,0,28,4,2,5,8,3,0,6,0,0,0,44,46,0,48,40,39,0,0,43,0,37,0,32,35,31,30,0,0,0,0,12,10,11,14,15,0,21,20,18,17,19,16
3,0,8,6,5,4,0,32,0,0,0,31,35,0,26,24,0,23,25,0,0,19,18,0,0,0,0,0,12,11,14,10,0,0,15,41,0,40,38,39,42,43,1,0,0,0,45,47,44
45,44,0,48,47,0,49,0,23,26,29,24,0,27,0,0,0,16,18,0,20,12,0,14,0,15,0,9,5,4,7,3,2,6,8,0,0,0,31,0,0,0,43,0,41,39,0,40,37
0,9,15,13,12,0,14,0,37,40,43,0,42,41,0,0,0,30,0,0,0,26,25,28,27,0,24,23,0,18,0,0,16,20,22,0,0,0,45,46,49,1,8,0,6,4,3,5,2
0,35,41,39,38,0,40,0,0,17,0,0,0,18,0,0,0,0,9,12,11,0,2,0,4,0,0,49,45,44,47,43,42,46,48,25,0,24,22,23,26,0,34,33,32,0,0,0,0
8,7,13,11,0,9,12,37,35,0,41,36,0,0,0,29,0,28,30,0,0,0,0,0,25,27,22,21,17,16,19,0,14,18,20,46,42,45,0,44,47,48,0,5,4,0,1,3,0
1,49,6,4,0,0,0,30,28,0,34,29,0,32,0,22,27,21,23,0,0,0,16,19,0,20,0,0,0,9,0,8,0,11,13,39,35,38,0,37,40,41,0,47,46,44,43,0,42
