9,0,8,0,12,13,0,0,0,5,3,6,0,1,16,2
0,2,16,0,0,0,0,3,12,13,11,0,7,9,8,10
13,14,12,0,0,0,0,15,8,0,7,10,3,5,0,6
5,6,4,0,0,9,10,0,0,1,0,2,0,13,0,14
10,0,9,8,13,14,15,12,0,0,4,0,16,2,1,3
6,0,0,4,9,10,0,0,1,0,0,0,0,14,0,0
2,3,0,16,5,0,0,4,0,0,12,0,8,0,9,11
0,15,0,0,1,2,3,0,9,0,0,0,4,6,0,7
0,0,10,9,14,0,16,13,6,7,5,8,1,0,2,0
15,16,14,13,0,0,0,0,0,11,9,0,5,7,0,8
0,8,0,5,10,11,0,9,2,0,1,4,13,0,0,0
3,0,0,1,6,0,8,5,14,15,13,16,0,0,0,0
0,5,3,0,7,8,9,0,0,16,14,1,10,0,11,0
0,0,0,0,0,0,1,14,7,8,0,9,2,4,3,0
0,0,15,0,3,4,5,2,0,12,0,13,0,0,7,9
8,9,7,6,0,0,0,10,3,4,0,5,14,0,15,0
