38,43,36,35,37,39,40,0,0,8,14,0,12,11,16,15,9,13,32,31,28,27,0,26,0,34,33,18,19,17,20,21,23,25,22,24,0,1,2,7,5,81,0,0,4,78,71,0,79,0,77,72,73,0,0,48,44,0,45,47,50,46,49,0,70,66,0,65,62,69,0,64,55,54,53,60,0,58,0,0,59
0,61,0,53,55,57,58,0,0,0,0,28,30,29,34,33,27,0,50,49,46,45,47,44,48,0,51,0,0,35,38,0,41,43,0,42,0,0,20,25,23,18,17,21,0,15,8,11,16,13,14,9,10,12,69,66,62,70,63,0,68,0,0,81,7,3,4,0,80,6,5,1,0,72,71,78,74,0,79,75,77
74,79,72,0,73,75,0,0,0,44,50,46,0,0,52,0,45,49,68,67,0,63,65,62,66,0,69,54,0,53,56,57,59,61,58,60,42,37,38,43,41,0,35,39,40,33,26,0,34,31,32,27,28,30,6,0,80,7,0,2,5,1,4,0,25,0,22,0,17,24,23,0,0,9,0,15,0,13,16,0,0
20,25,18,17,19,21,22,24,23,71,77,0,0,74,79,78,72,0,14,13,10,0,11,8,12,16,15,81,1,80,2,3,5,7,4,0,0,64,65,70,68,0,62,66,67,60,0,56,61,58,59,54,55,57,0,30,26,34,0,29,32,28,0,0,52,48,49,47,44,51,50,0,37,0,35,42,38,40,43,0,0
11,0,0,8,0,12,0,15,14,0,68,64,0,65,70,0,63,0,5,4,1,81,2,80,0,7,0,0,73,71,74,75,77,79,0,78,60,55,0,61,59,54,53,57,58,51,44,47,52,49,50,45,46,0,24,21,17,0,18,20,23,19,0,0,0,39,40,0,35,42,41,37,28,27,26,33,29,31,34,30,32
2,7,81,80,1,3,4,6,0,53,59,55,57,56,61,0,54,0,77,76,73,72,74,0,75,0,0,0,0,62,65,0,68,70,67,69,51,46,47,52,50,45,44,48,49,42,35,38,43,40,41,36,37,0,15,12,0,0,9,11,14,10,0,27,34,0,31,0,26,33,32,28,0,0,0,24,20,22,25,21,0
47,52,0,44,0,48,0,51,50,17,23,0,0,20,0,24,18,22,41,40,37,36,38,0,39,43,0,27,28,26,0,30,32,34,31,33,15,10,11,0,0,9,8,0,13,6,80,2,7,4,5,81,0,3,60,0,53,61,0,0,59,55,0,72,79,0,76,74,71,78,77,73,64,63,62,0,65,67,0,0,0
65,70,0,62,0,0,67,0,68,35,0,0,0,0,0,42,0,40,59,58,0,54,56,0,0,61,60,45,46,44,47,0,50,52,0,0,33,28,29,0,0,27,26,30,0,0,17,20,25,22,23,18,19,21,78,75,71,79,72,0,77,0,0,9,16,12,13,11,8,15,14,10,1,81,80,6,2,4,7,3,5
0,34,27,26,28,0,0,33,32,80,5,1,0,2,7,6,81,4,0,22,19,18,20,17,21,25,24,9,0,8,11,0,14,16,13,15,0,73,0,79,77,0,0,75,76,0,0,65,70,67,0,0,0,66,42,0,35,43,36,0,41,0,40,54,61,57,58,0,53,60,59,55,46,45,44,0,47,49,52,48,0
6,0,4,3,0,7,8,0,9,57,63,59,61,60,65,64,58,62,81,80,0,76,0,75,79,2,1,67,68,0,69,70,72,0,71,73,55,50,51,56,54,0,48,52,0,46,0,42,0,44,45,40,41,0,0,16,0,20,0,15,18,0,17,0,38,34,35,33,0,37,36,32,23,22,21,28,0,26,29,25,0
