56,0,59,54,61,0,0,55,29,22,27,26,25,28,23,24,0,50,52,47,46,53,51,48,0,6,7,0,11,9,0,0,3,4,5,1,64,0,2,62,18,0,15,16,14,17,21,19,33,0,31,37,0,30,34,0,0,39,40,0,0,43,0,45
40,42,43,38,45,0,44,39,0,0,0,10,9,12,0,0,0,34,36,31,30,37,0,0,0,0,55,58,0,57,0,0,51,52,0,0,0,47,50,46,2,4,63,64,62,0,0,3,17,16,0,0,0,0,18,20,0,23,24,25,26,27,28,29
64,2,3,0,5,1,4,63,37,0,35,34,0,36,0,32,57,58,60,55,54,0,59,56,0,14,0,0,19,0,0,21,11,12,13,9,8,7,10,6,26,28,23,24,22,25,29,0,0,40,39,45,43,38,0,44,0,47,48,49,50,51,52,53
24,26,27,22,0,25,0,0,61,54,0,58,57,0,55,56,0,0,0,15,14,21,19,16,40,38,39,42,43,41,44,0,35,0,0,33,32,31,34,30,0,52,0,48,46,49,0,51,0,0,63,5,0,0,2,4,6,0,8,0,10,11,12,13
32,34,0,30,0,0,36,31,0,62,0,2,1,0,63,0,25,26,28,23,22,29,27,24,48,46,0,50,0,49,52,0,43,0,0,41,40,0,42,38,58,60,0,56,0,57,61,59,9,8,7,13,0,6,0,0,0,15,0,0,0,19,20,21
16,18,19,14,0,17,0,15,53,46,51,0,49,52,47,48,9,0,12,0,6,13,11,8,32,30,31,34,35,0,36,37,27,28,29,25,24,0,0,22,42,44,39,40,0,0,45,43,57,56,55,61,59,54,58,60,62,0,64,0,2,0,0,0
0,0,0,46,53,49,52,47,21,14,19,0,17,20,15,0,41,42,44,0,38,0,0,40,64,62,63,0,0,0,4,5,59,60,61,0,56,0,58,54,10,12,0,8,0,0,0,11,25,24,23,29,27,22,26,28,0,31,32,0,34,35,36,37
8,0,11,6,13,0,12,7,45,0,0,42,0,0,39,40,1,2,0,63,62,5,3,64,24,0,23,0,27,0,0,29,19,20,21,0,16,0,18,14,34,36,31,32,0,33,37,35,49,48,47,53,51,46,0,52,54,55,0,57,58,59,0,61
44,46,47,42,0,0,48,43,17,10,15,14,13,0,11,12,37,38,40,35,34,41,39,0,60,58,0,62,63,0,64,1,55,56,57,53,52,51,54,0,6,8,3,4,2,0,9,0,0,0,19,0,23,18,22,24,26,27,28,0,30,31,32,0
36,38,0,34,41,37,40,35,9,2,7,0,0,8,3,4,29,0,32,27,26,0,31,0,52,50,51,0,55,53,56,57,47,48,49,45,44,0,0,42,0,0,59,60,58,61,1,0,0,12,11,17,15,10,0,0,18,19,0,0,0,23,24,25
0,0,23,0,0,21,24,19,57,0,55,54,53,56,51,52,13,0,16,11,0,0,15,12,36,34,0,0,0,37,40,41,31,32,0,29,28,0,30,26,0,0,0,44,42,45,49,0,0,0,59,1,0,58,0,64,2,3,4,0,6,7,8,9
28,30,31,0,33,29,32,27,0,0,63,62,0,64,59,0,0,0,24,0,18,25,23,20,44,0,43,46,47,45,48,49,0,40,41,0,36,0,38,34,0,0,0,52,50,53,0,55,0,4,3,0,7,0,0,8,10,11,12,13,14,15,16,17
52,54,55,50,57,53,56,51,25,18,0,22,21,0,19,0,45,46,48,0,42,49,47,0,4,2,0,0,0,0,8,9,63,64,1,61,60,0,62,58,0,0,11,12,10,13,17,15,0,28,27,33,31,26,30,32,0,35,36,37,38,39,40,0
12,14,15,0,17,13,16,11,49,42,47,46,45,48,0,44,5,0,8,0,2,9,7,0,28,26,27,30,31,29,32,33,0,24,25,21,20,19,22,18,0,40,0,36,0,37,0,39,53,52,0,57,0,50,54,0,0,59,0,61,62,63,64,0
