3,0,1,0,5,6,7,8,15,0,0,16,0,12,11,9
15,14,0,16,0,0,3,0,11,0,0,12,0,0,7,0
7,6,5,0,9,0,0,12,3,2,1,4,0,16,0,0
0,0,9,0,0,0,15,0,7,6,5,8,2,0,3,1
9,0,0,10,0,0,13,14,5,4,3,6,16,2,0,0
13,12,11,14,0,0,1,0,9,0,7,0,0,6,5,3
1,16,0,0,3,4,0,0,0,12,11,0,8,0,0,0
5,0,0,6,7,8,9,10,0,16,0,2,0,14,13,0
8,7,6,0,10,11,12,13,0,0,0,0,0,1,16,14
12,11,10,13,14,15,16,0,0,7,6,0,3,0,0,0
4,3,0,0,6,7,8,9,16,0,14,0,0,13,0,0
0,0,14,1,2,3,0,5,0,0,10,0,0,0,0,6
0,1,16,3,0,0,6,7,14,0,0,15,9,11,0,8
14,13,12,15,16,0,0,3,10,9,0,0,5,7,0,0
0,0,0,11,0,13,14,0,6,0,4,7,1,3,2,16
0,0,0,0,8,0,0,11,2,0,0,0,13,15,14,12
