18,0,21,17,19,8,11,10,0,0,24,0,23,0,1,0,15,0,0,0,3,0,4,0,2
8,0,11,7,9,23,1,25,22,0,0,12,0,15,16,3,5,0,0,0,18,20,19,21,17
23,0,1,0,0,0,16,0,12,14,4,2,3,5,0,18,20,0,0,0,0,10,9,11,0
13,15,16,0,14,3,6,5,0,4,19,17,18,20,0,8,0,0,0,7,23,25,0,1,0
3,5,0,0,0,18,21,20,17,19,9,7,8,10,11,0,0,0,24,22,0,0,14,0,12
7,9,0,6,0,0,25,0,0,0,13,11,0,14,15,0,4,0,3,0,17,19,18,20,16
22,24,25,21,23,0,15,14,0,13,0,0,0,4,0,17,19,0,0,16,7,0,8,10,0
0,14,15,0,0,2,0,0,0,3,0,0,0,19,20,7,9,10,0,6,22,24,23,0,0
0,19,20,16,0,7,0,0,0,8,0,0,22,0,0,12,14,0,13,11,0,4,0,5,1
0,4,0,1,3,17,0,0,16,18,8,0,7,0,10,0,0,0,0,21,12,14,0,15,0
1,3,4,25,2,16,19,0,0,17,7,5,6,0,0,0,23,24,22,20,11,13,0,14,0
11,13,14,10,12,0,4,0,25,0,17,15,0,0,19,6,8,0,7,0,0,23,22,0,0
16,0,19,15,17,6,0,8,5,7,22,20,0,23,24,0,13,14,0,0,1,3,2,0,25
6,8,9,5,7,21,0,0,20,22,12,0,11,13,0,0,3,4,0,25,16,0,17,19,15
21,0,24,0,0,0,14,13,10,0,2,0,1,3,4,16,18,19,0,15,0,0,7,9,5
0,0,0,8,10,24,0,1,23,0,0,13,14,16,17,4,0,7,5,0,0,21,20,0,18
0,0,17,13,15,4,0,0,3,0,0,0,0,21,22,9,0,12,10,0,24,1,25,0,23
4,6,7,3,5,19,0,21,0,20,0,8,0,0,12,0,1,2,0,23,14,16,15,17,13
19,21,22,0,0,0,12,0,0,10,0,23,24,1,0,0,16,17,15,13,4,6,0,7,3
24,0,0,23,25,0,17,16,13,0,5,3,0,6,7,19,0,22,20,18,0,11,0,12,8
20,22,0,19,21,0,13,0,9,0,1,0,25,2,3,15,17,0,16,14,0,7,6,0,0
5,7,8,4,6,20,23,22,0,21,11,0,10,0,13,0,2,0,1,24,15,17,16,0,14
0,2,0,24,1,15,18,17,0,0,6,4,5,7,0,20,22,0,21,19,10,12,0,13,0
0,12,13,0,0,25,0,0,24,0,16,14,15,17,18,0,7,8,6,4,20,22,21,0,19
15,17,0,14,16,0,0,0,0,6,0,0,20,22,23,10,0,13,11,9,25,0,1,3,24
